_id,OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,COMPLEX_NAME,IRWINID,FIRE_NUM,COMPLEX_ID,DECADES,Shape__Area,Shape__Length
2768,2768,2017,CA,CDF,NEU,CASCADE,00026269,2017/10/08 00:00:00+00,2017/10/26 00:00:00+00,14,7,1,16140.8,Merged with LaPorte,WIND COMPLEX,{EDF386DD-AC40-47A0-95F1-7D9A37B48849},,,2010,109404876.894531,126853.614804535
2769,2769,2017,CA,NPS,YNP,POHONO,00000150,2017/10/09 00:00:00+00,2017/10/09 00:00:00+00,4,7,1,0.07946421,,,{B77CB48F-9258-4EC7-B499-A0569D80E1B2},150,,2010,514.6484375,81.3508510043881
2770,2770,2017,CA,NPS,YNP,RIBBON,00000147,2017/09/26 00:00:00+00,2017/11/27 00:00:00+00,1,7,1,1.385606,,,{F2DFEAA8-C394-4C85-B598-9F5AC3DFF3D6},147,,2010,8985.3046875,339.735705305058
2771,2771,2017,CA,NPS,YNP,YOSEMITE CREEK,00000094,2017/08/03 00:00:00+00,2017/09/24 00:00:00+00,1,1,1,3.495089,,,{5E90A1EC-9EDA-4299-B07E-7EB20DFCFA57},94,,2010,22716.88671875,978.717113462089
2772,2772,2017,CA,NPS,YNP,HIDDEN,00000136,2017/09/12 00:00:00+00,2017/09/24 00:00:00+00,1,7,1,0.07936531,,,{06C7D631-CBDB-4569-B12D-B57DFBB23FB1},136,,2010,515.36328125,81.4165632997246
2773,2773,2017,CA,NPS,RNP,SHORELINE,00001718,2017/09/26 00:00:00+00,2017/09/26 00:00:00+00,9,1,1,1.425338,,,{67B5D40C-8DDF-42EE-A496-8563A90C260C},1718,,2010,9318.2890625,431.541125373446
2774,2774,2017,CA,NPS,YNP,BENSON PASS,00000093,2017/08/03 00:00:00+00,2017/09/01 00:00:00+00,1,7,1,0.07913961,,,{4A2B66CA-982E-409B-89CD-5BAA3B81AA65},93,,2010,516.8359375,81.5516104016573
2775,2775,2017,CA,NPS,YNP,LECONTE,00000133,2017/09/11 00:00:00+00,2017/09/27 00:00:00+00,1,7,1,0.07920874,,,{F36A316F-781D-48DF-9D41-A23598A48660},133,,2010,516.21875,81.4972655511972
2776,2776,2017,CA,NPS,YNP,EMPIRE,00000084,2017/07/31 00:00:00+00,2017/11/27 00:00:00+00,1,7,1,8577.552,,,{4F1A7A4C-7B03-432A-8110-C1F80B375196},84,,2010,55463909.9414062,156091.427983048
2777,2777,2017,CA,NPS,YNP,WATKINS,00000129,2017/09/11 00:00:00+00,2017/09/12 00:00:00+00,1,7,1,0.07938439,,,{BE4605A9-DE74-4A2B-B97B-C305983A0B2C},129,,2010,515.2265625,81.4035110540342
