,FIRE_NAME,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,GIS_ACRES,COMPLEX_NAME,Shape__Area,Shape__Length
136,QUAIL 2,2023-08-10 00:00:00+00:00,2023/08/10 00:00:00+00,7.0,3.0,300.792,DRY CREEK COMPLEX,1889136.36328125,8767.67954565026
137,ROBIN,2023-08-10 00:00:00+00:00,2023/08/10 00:00:00+00,7.0,3.0,138.2095,,867423.91796875,6351.43918016014
138,ROCK,2023-08-09 00:00:00+00:00,2023/08/10 00:00:00+00,14.0,1.0,531.0221,,3125684.390625,9266.77327412283
139,BRITE,2023-08-09 00:00:00+00:00,2023/08/09 00:00:00+00,14.0,1.0,3.816716,,23131.67578125,712.314840154778
140,BUNNIE,2023-08-09 00:00:00+00:00,2023/08/11 00:00:00+00,14.0,3.0,183.9228,,1060934.36328125,6973.0342525498
141,CEMETERY,2023-08-09 00:00:00+00:00,2023/08/09 00:00:00+00,14.0,1.0,74.10231,,502589.3828125,3982.26722140786
142,PECWAN,2023-08-08 00:00:00+00:00,2023/08/08 00:00:00+00,14.0,6.0,12.89246,,92530.3984375,1441.22720434884
143,BROADWAY,2023-08-06 00:00:00+00:00,2023/08/08 00:00:00+00,14.0,1.0,1.601149,,9430.55859375,498.032123691391
144,ALMOND,2023-08-06 00:00:00+00:00,2023/08/07 00:00:00+00,14.0,1.0,5228.871,,32043957.1210938,45656.0660909036
145,FOOTHILLS,2023-08-05 00:00:00+00:00,2023/08/05 00:00:00+00,14.0,1.0,25.0,,166830.6015625,2057.58620182663
146,NONAME,2023-08-05 00:00:00+00:00,2023/08/08 00:00:00+00,14.0,2.0,1113.898,,6862632.82421875,17746.0270813276
147,BOULEVARD,2023-08-04 00:00:00+00:00,2023/08/07 00:00:00+00,14.0,1.0,89.46474,,542043.421875,8956.07928963521
148,EDMONSTON,2023-08-03 00:00:00+00:00,2023/08/04 00:00:00+00,14.0,1.0,14.59014,,88044.421875,1789.61277467236
149,TECUYA,2023-08-02 00:00:00+00:00,2023/08/20 00:00:00+00,14.0,7.0,76.19935,,458969.375,5270.88527219459
